displacement,category,partisanship,timeframe,starttime,correlation,pvalue
3,Anti-semitism,CenterRight,3,42,1.0,0.0
3,Anti-semitism,Right,3,42,1.0,0.0
5,Anti-semitism,FarRight,3,42,1.0,0.0
3,Immigration,CenterLeft,3,43,0.8660254037844387,0.3333333333333331
4,Immigration,Center,3,43,0.8660254037844387,0.3333333333333331
3,Immigration,CenterRight,3,43,0.8660254037844387,0.3333333333333331
4,Immigration,Right,3,43,0.8660254037844386,0.33333333333333337
5,Immigration,FarRight,3,43,0.8660254037844387,0.3333333333333331
4,Islamophobia,FarLeft,3,43,1.0,0.0
5,Islamophobia,Right,3,43,0.8660254037844387,0.3333333333333331
2,Islamophobia,FarRight,3,43,1.0,0.0
5,Anti-semitism,FarLeft,3,43,0.8660254037844387,0.3333333333333331
3,Anti-semitism,CenterRight,3,43,0.8660254037844387,0.3333333333333331
3,Anti-semitism,Right,3,43,0.8660254037844387,0.3333333333333331
5,Anti-semitism,Right,3,43,0.8660254037844387,0.3333333333333331
5,Anti-semitism,FarRight,3,43,0.8660254037844387,0.3333333333333331
1,Immigration,CenterRight,3,44,1.0,0.0
4,Islamophobia,FarLeft,3,44,0.8660254037844387,0.3333333333333331
5,Islamophobia,Right,3,44,0.8660254037844387,0.3333333333333331
2,Islamophobia,FarRight,3,44,0.8660254037844387,0.3333333333333331
5,Anti-semitism,FarLeft,3,44,1.0,0.0
3,Anti-semitism,CenterRight,3,44,1.0,0.0
5,Anti-semitism,Right,3,44,1.0,0.0
2,Anti-semitism,FarRight,3,44,1.0,0.0
5,Anti-semitism,FarRight,3,44,1.0,0.0
3,Immigration,FarLeft,3,45,0.9999999999999998,1.3415758552508148e-08
1,Immigration,CenterLeft,3,45,0.8660254037844387,0.3333333333333331
4,Immigration,CenterLeft,3,45,0.8660254037844387,0.3333333333333331
2,Immigration,Center,3,45,0.8660254037844387,0.3333333333333331
1,Immigration,CenterRight,3,45,0.8660254037844387,0.3333333333333331
5,Immigration,CenterRight,3,45,0.8660254037844387,0.3333333333333331
3,Immigration,Right,3,45,0.8660254037844386,0.33333333333333337
3,Immigration,FarRight,3,45,0.8660254037844387,0.3333333333333331
2,Islamophobia,FarLeft,3,45,1.0,0.0
3,Islamophobia,Right,3,45,0.8660254037844387,0.3333333333333331
3,Immigration,FarLeft,3,46,1.0,0.0
1,Immigration,CenterLeft,3,46,1.0,0.0
4,Immigration,CenterLeft,3,46,1.0,0.0
2,Immigration,Center,3,46,1.0,0.0
1,Immigration,CenterRight,3,46,1.0,0.0
5,Immigration,CenterRight,3,46,1.0,0.0
3,Immigration,Right,3,46,1.0,0.0
3,Immigration,FarRight,3,46,1.0,0.0
2,Islamophobia,FarLeft,3,46,1.0,0.0
3,Islamophobia,Right,3,46,1.0,0.0
3,Anti-semitism,FarLeft,3,46,1.0,0.0
1,Anti-semitism,CenterRight,3,46,1.0,0.0
3,Anti-semitism,Right,3,46,1.0,0.0
3,Anti-semitism,FarRight,3,46,1.0,0.0
3,Immigration,FarLeft,3,47,1.0,0.0
